BlockPos: 687
ItemStack: 330
Identifier: 313
World: 303
Vec3d: 218
Text: 140
MinecraftClient: 107
MatrixStack: 93
Ingredient: 75
IWorld: 65
ClientWorld: 56
PlayerEntity: 48
CompoundTag: 40
BlockState: 39
Block: 26
ItemEntity: 25
SoundEvent: 24
LiteralText: 24
Direction: 22
Style: 20
ItemConvertible: 19
Recipe: 19
Item: 19
SwordItem: 18
BlockEntity: 16
ItemGroup: 15
Sprite: 15
AbstractBlock.Settings: 13
RecipeType: 12
Property: 11
ClientPlayerEntity: 11
Registry: 10
BooleanProperty: 10
Inventory: 9
VertexConsumerProvider: 9
ActionResult: 9
Formatting: 9
PacketByteBuf: 8
RecipeManager: 8
TranslatableText: 8
Entity: 8
EntityRenderDispatcher: 8
DefaultedRegistry: 7
BlockEntityRenderDispatcher: 7
Material: 7
VoxelShape: 7
Particle: 7
RecipeSerializer: 6
SidedInventory: 6
Hand: 6
SoundCategory: 6
Window: 6
MutableText: 5
BlockEntityType: 4
Quaternion: 4
ItemRenderer: 4
ModelTransformation.Mode: 4
InventoryProvider: 4
BlockView: 4
Screen: 4
LivingEntity: 4
Element: 4
BufferBuilderStorage: 4
ParticleTextureSheet: 4
BlockRenderType: 3
BlockHitResult: 3
BakedModel: 3
RenderLayer: 2
BlockEntityRenderer: 2
Vector3f: 2
Tag: 2
StateManager.Builder: 2
ShapeContext: 2
ModelTransformation: 2
ModelOverrideList: 2
RayTraceContext: 2
RayTraceContext.ShapeType: 2
RayTraceContext.FluidHandling: 2
HitResult.Type: 2
TextureManager: 2
ParticleManager: 2
InputUtil.Type: 2
TextRenderer: 2
Mouse: 2
TagContainer: 2
Tickable: 1
StateManager: 1
State: 1
BlockRenderView: 1
ItemModels: 1
BakedQuad: 1
MinecraftServer: 1
TooltipContext: 1
BasicInventory: 1
AirBlock: 1
VertexConsumer: 1
Camera: 1
VertexConsumerProvider.Immediate: 1
SpriteBillboardParticle: 1
GameOptions: 1
KeyBinding: 1
IntegratedServer: 1
